[2025-09-15 16:55:10,967] 15 root - INFO - Initiate the data ingestion
[2025-09-15 16:55:14,404] 74 root - INFO - Performed train test split on the dataframe
[2025-09-15 16:55:14,404] 75 root - INFO - Exited split_data
[2025-09-15 16:55:14,405] 79 root - INFO - Created directory Artifact\09_15_2025_16_55_09\data_ingestion\ingested
[2025-09-15 16:55:14,446] 84 root - INFO - Saved training and testing data
[2025-09-15 16:55:14,447] 17 root - INFO - Initiate the data vaingestion completedn
[2025-09-15 16:55:14,451] 21 root - INFO - Initiate the data validation
[2025-09-15 16:55:14,524] 31 root - INFO - Number of columns  2
[2025-09-15 16:55:14,524] 32 root - INFO - Dataframe has column:31
[2025-09-15 16:55:14,524] 31 root - INFO - Number of columns  2
[2025-09-15 16:55:14,534] 32 root - INFO - Dataframe has column:31
[2025-09-15 16:55:14,630] 23 root - INFO - Initiate the data validation completed
